aid,trattato,w,subclass,campo,g_adopt,non_cs
5051954808,0,1,11705,Decision Sciences,NA,1
5051955613,0,1,13884,"Economics, Econometrics and Finance",NA,1
5051960947,1,1,6519,Computer Science,2021,0
5051961507,1,1,6520,Computer Science,2020,0
5051963490,1,1,6521,Engineering,2022,1
5051966806,0,1,1374,Computer Science,NA,0
5051969166,0,1,7211,Computer Science,NA,0
5051971478,1,1,6522,Medicine,2022,1
5051980304,1,1,6523,"Biochemistry, Genetics and Molecular Biology",2022,1
5051981813,1,1,6524,Computer Science,2021,0
5051983148,1,1,6525,Medicine,2021,1
5051985869,1,1,6526,Computer Science,2021,0
5051989657,1,1,6527,Neuroscience,2020,1
5051992568,1,1,6528,Computer Science,2021,0
5051994266,1,1,6529,Medicine,2019,1
5051998921,1,1,6530,Computer Science,2021,0
5052001478,1,1,6531,Computer Science,2020,0
5052005274,0,1,14635,Computer Science,NA,0
5052008636,0,1,12775,"Biochemistry, Genetics and Molecular Biology",NA,1
5052010213,0,1,14780,Engineering,NA,1
5052010898,0,1,8479,Environmental Science,NA,1
5052015967,1,1,6532,Computer Science,2020,0
5052017575,1,1,6533,Computer Science,2022,0
5052021537,0,1,13024,Computer Science,NA,0
5052022779,0,1,13133,Engineering,NA,1
5052023793,0,1,14435,Computer Science,NA,0
5052037141,0,1,13283,Engineering,NA,1
5052037779,1,1,6534,Engineering,2021,1
5052041451,0,1,15494,Computer Science,NA,0
5052043106,0,1,8221,Computer Science,NA,0
5052045647,1,1,6535,Computer Science,2020,0
5052049405,1,1,6536,Computer Science,2022,0
5052054395,0,1,10378,Computer Science,NA,0
5052057753,1,1,6537,Computer Science,2022,0
5052065953,0,1,4821,Earth and Planetary Sciences,NA,1
5052067052,1,1,6538,Computer Science,2021,0
5052068543,0,1,1599,Physics and Astronomy,NA,1
5052088046,0,1,4112,Computer Science,NA,0
5052094063,0,1,7573,Computer Science,NA,0
5052094601,1,1,6539,Computer Science,2020,0
5052095892,0,1,1715,Computer Science,NA,0
5052102502,0,1,16634,Environmental Science,NA,1
5052115720,0,1,5072,Computer Science,NA,0
5052116809,1,1,6540,Computer Science,2022,0
5052118000,0,1,1588,Medicine,NA,1
5052119250,1,1,6541,Medicine,2022,1
5052119291,0,1,4288,Computer Science,NA,0
5052129812,1,1,6542,Computer Science,2022,0
5052135026,1,1,6543,"Biochemistry, Genetics and Molecular Biology",2022,1
5052135588,0,1,2059,Engineering,NA,1
5052136826,1,1,6544,Medicine,2022,1
5052139695,0,1,14256,Earth and Planetary Sciences,NA,1
5052141236,0,1,15487,Computer Science,NA,0
5052155328,1,1,6545,Medicine,2022,1
5052156352,0,1,13930,Computer Science,NA,0
5052160218,0,1,12686,Computer Science,NA,0
5052165206,0,1,4374,Medicine,NA,1
5052165359,1,1,6546,"Biochemistry, Genetics and Molecular Biology",2022,1
5052168623,0,1,395,Computer Science,NA,0
5052169736,1,1,6547,Neuroscience,2022,1
5052182362,1,1,6548,Psychology,2021,1
5052185760,1,1,6549,Computer Science,2019,0
5052192895,1,1,6550,Computer Science,2021,0
5052196188,1,1,6551,Computer Science,2019,0
5052196540,1,1,6552,Computer Science,2020,0
5052198700,1,1,6553,Engineering,2022,1
5052203401,1,1,6554,Computer Science,2020,0
5052209934,0,1,10017,Engineering,NA,1
5052210474,1,1,6555,Medicine,2021,1
5052217585,0,1,14674,Engineering,NA,1
5052229178,0,1,1409,Computer Science,NA,0
5052232868,1,1,6556,Computer Science,2022,0
5052233342,1,1,6557,Computer Science,2021,0
5052233825,0,1,5711,Psychology,NA,1
5052234427,0,1,4574,Computer Science,NA,0
5052236744,0,1,6007,Computer Science,NA,0
5052247920,1,1,6558,Medicine,2022,1
5052248307,1,1,6559,Computer Science,2021,0
5052253923,0,1,11196,Medicine,NA,1
5052253938,0,1,15676,Computer Science,NA,0
5052254154,0,1,3790,Physics and Astronomy,NA,1
5052255801,1,1,6560,Computer Science,2020,0
5052265483,0,1,3675,Computer Science,NA,0
5052269317,0,1,5989,Computer Science,NA,0
5052272353,0,1,10189,"Business, Management and Accounting",NA,1
5052275926,0,1,9475,Computer Science,NA,0
5052284218,1,1,6561,Computer Science,2022,0
5052302040,0,1,15336,Earth and Planetary Sciences,NA,1
5052307918,0,1,11274,Computer Science,NA,0
5052310341,1,1,6562,"Biochemistry, Genetics and Molecular Biology",2022,1
5052313712,1,1,6563,"Biochemistry, Genetics and Molecular Biology",2022,1
5052315997,0,1,7602,Computer Science,NA,0
5052317536,1,1,6564,Computer Science,2021,0
5052318399,0,1,6529,Computer Science,NA,0
5052322515,1,1,6565,Engineering,2020,1
5052325109,1,1,6566,Computer Science,2019,0
5052326736,1,1,6567,Arts and Humanities,2021,1
5052330166,0,1,11036,Computer Science,NA,0
5052334463,1,1,6568,Computer Science,2022,0
5052334636,1,1,6569,Computer Science,2022,0
5052337056,1,1,6570,"Biochemistry, Genetics and Molecular Biology",2021,1
5052346902,1,1,6571,Computer Science,2020,0
5052351535,0,1,15906,Engineering,NA,1
5052352119,1,1,6572,Engineering,2022,1
5052353689,0,1,2770,Engineering,NA,1
5052354656,1,1,6573,Medicine,2021,1
5052356151,0,1,5437,Medicine,NA,1
5052370366,0,1,8986,Computer Science,NA,0
5052372263,0,1,15773,Computer Science,NA,0
5052373617,0,1,2825,Engineering,NA,1
5052377100,1,1,6574,Computer Science,2021,0
5052377220,0,1,12217,Medicine,NA,1
5052380142,0,1,8380,Computer Science,NA,0
5052382186,1,1,6575,Engineering,2021,1
5052386527,0,1,69,Engineering,NA,1
5052387922,1,1,6576,Psychology,2020,1
5052387949,0,1,3302,Physics and Astronomy,NA,1
5052390471,1,1,6577,Engineering,2021,1
5052390500,1,1,6578,Computer Science,2019,0
5052391290,1,1,6579,Medicine,2021,1
5052391923,0,1,5859,Computer Science,NA,0
5052391925,0,1,5234,Engineering,NA,1
5052397462,0,1,8228,Computer Science,NA,0
5052399473,0,1,7249,Computer Science,NA,0
5052401358,0,1,5696,Engineering,NA,1
5052404344,1,1,6580,Environmental Science,2022,1
5052407958,1,1,6581,"Biochemistry, Genetics and Molecular Biology",2022,1
5052408504,1,1,6582,Computer Science,2020,0
5052411549,0,1,10880,Engineering,NA,1
5052418412,0,1,14565,Decision Sciences,NA,1
5052426710,1,1,6583,Computer Science,2022,0
5052427970,0,1,16766,Engineering,NA,1
5052434186,0,1,7131,Computer Science,NA,0
5052437310,0,1,1178,Computer Science,NA,0
5052437722,1,1,6584,Computer Science,2020,0
5052443101,0,1,165,Engineering,NA,1
5052446168,1,1,6585,Computer Science,2022,0
5052447230,0,1,8244,Engineering,NA,1
5052449132,1,1,6586,Computer Science,2021,0
5052449763,1,1,6587,Computer Science,2022,0
5052453301,1,1,6588,Medicine,2022,1
5052453542,0,1,3380,"Business, Management and Accounting",NA,1
5052457017,0,1,10309,Computer Science,NA,0
5052459660,1,1,6589,Computer Science,2021,0
5052466577,1,1,6590,Engineering,2021,1
5052467896,1,1,6591,Computer Science,2019,0
5052467988,1,1,6592,Engineering,2022,1
5052468718,1,1,6593,Computer Science,2021,0
5052469426,1,1,6594,Engineering,2022,1
5052470310,1,1,6595,Computer Science,2020,0
5052471374,1,1,6596,Computer Science,2021,0
5052479960,0,1,6845,Engineering,NA,1
5052480363,0,1,308,"Business, Management and Accounting",NA,1
5052480553,1,1,6597,Engineering,2021,1
5052487611,0,1,1291,Engineering,NA,1
5052490127,0,1,14079,Engineering,NA,1
5052498253,0,1,9785,Engineering,NA,1
5052503472,1,1,6598,Computer Science,2020,0
5052505769,1,1,6599,Medicine,2022,1
5052507766,0,1,15218,Engineering,NA,1
5052510871,1,1,6600,Computer Science,2022,0
5052512997,1,1,6601,Medicine,2022,1
5052518632,1,1,6602,Engineering,2020,1
5052532450,1,1,6603,Medicine,2020,1
5052534353,0,1,5867,Engineering,NA,1
5052543660,1,1,6604,Computer Science,2021,0
5052551454,1,1,6605,Computer Science,2020,0
5052552412,0,1,1226,Psychology,NA,1
5052553582,1,1,6606,Engineering,2022,1
5052554057,1,1,6607,Computer Science,2022,0
5052560070,1,1,6608,Computer Science,2021,0
5052560647,0,1,16173,Social Sciences,NA,1
5052565646,0,1,391,"Biochemistry, Genetics and Molecular Biology",NA,1
